add device 1: /dev/input/event4
  name:     "mtk-tpd-kpd"
add device 2: /dev/input/event3
  name:     "mtk-tpd"
could not get driver version for /dev/input/mouse0, Not a typewriter
add device 3: /dev/input/event1
  name:     "hwmdata"
add device 4: /dev/input/event0
  name:     "ACCDET"
could not get driver version for /dev/input/mice, Not a typewriter
add device 5: /dev/input/event2
  name:     "mt6575-kpd"
/dev/input/event1: 0002 0001 00000001
/dev/input/event1: 0002 0001 00000001
/dev/input/event1: 0002 0001 00000001
/dev/input/event1: 0002 0001 00000001
/dev/input/event1: 0002 0001 00000001
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015a
/dev/input/event3: 0003 0036 000001a3
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015a
/dev/input/event3: 0003 0036 000001a3
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015b
/dev/input/event3: 0003 0036 000001a9
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015b
/dev/input/event3: 0003 0036 000001b0
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015b
/dev/input/event3: 0003 0036 000001b7
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0002 0001 00000001
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015b
/dev/input/event3: 0003 0036 000001ba
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000015a
/dev/input/event3: 0003 0036 000001bb
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000156
/dev/input/event3: 0003 0036 000001be
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000151
/dev/input/event3: 0003 0036 000001c1
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000148
/dev/input/event3: 0003 0036 000001c5
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000013e
/dev/input/event3: 0003 0036 000001c9
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000133
/dev/input/event3: 0003 0036 000001cc
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000129
/dev/input/event3: 0003 0036 000001cd
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000121
/dev/input/event3: 0003 0036 000001cc
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000119
/dev/input/event3: 0003 0036 000001ca
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000112
/dev/input/event3: 0003 0036 000001c6
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010c
/dev/input/event3: 0003 0036 000001c0
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000108
/dev/input/event3: 0003 0036 000001bc
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000109
/dev/input/event3: 0003 0036 000001bb
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010d
/dev/input/event3: 0003 0036 000001b9
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0002 0001 00000001
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010e
/dev/input/event3: 0003 0036 000001b0
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010d
/dev/input/event3: 0003 0036 000001a2
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010a
/dev/input/event3: 0003 0036 00000196
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010b
/dev/input/event3: 0003 0036 00000190
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000010d
/dev/input/event3: 0003 0036 0000018b
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000111
/dev/input/event3: 0003 0036 00000186
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000115
/dev/input/event3: 0003 0036 00000183
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 00000119
/dev/input/event3: 0003 0036 00000181
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 00000001
/dev/input/event3: 0003 0035 0000011d
/dev/input/event3: 0003 0036 00000180
/dev/input/event3: 0000 0002 00000000
/dev/input/event3: 0000 0000 00000000
